Model,Metric,Value
YOLOv11,mAP@0.5,94.0369725227356
YOLOv11,mAP@0.5:0.95,59.96975302696228
YOLOv11,mAP@small,-100.0
YOLOv11,mAP@medium,23.787128925323486
YOLOv11,mAP@large,60.08841395378113
YOLOv11,Recall@100,65.89531898498535
YOLOv11,FPS,17.314084197151598
YOLOv11,Speed (ms),57.75644779205322
YOLOv11,Size (MB),5.207476615905762
YOLOv12,mAP@0.5,95.7327663898468
YOLOv12,mAP@0.5:0.95,56.59506320953369
YOLOv12,mAP@small,-100.0
YOLOv12,mAP@medium,69.9999988079071
YOLOv12,mAP@large,56.62407875061035
YOLOv12,Recall@100,63.85675072669983
YOLOv12,FPS,17.09202605156495
YOLOv12,Speed (ms),58.5068146387736
YOLOv12,Size (MB),5.251605033874512
YOLOv26,mAP@0.5,91.7646050453186
YOLOv26,mAP@0.5:0.95,54.85830903053284
YOLOv26,mAP@small,-100.0
YOLOv26,mAP@medium,53.59736084938049
YOLOv26,mAP@large,54.88032102584839
YOLOv26,Recall@100,63.38843107223511
YOLOv26,FPS,14.72139136197046
YOLOv26,Speed (ms),67.9283618927002
YOLOv26,Size (MB),5.120244026184082
