Model,Confidence_Threshold,mAP@0.5,mAP@0.5:0.95,Recall@100,FPS,Speed_ms,Total_Detections,Total_GT,Avg_Confidence
YOLOv11,0.1,94.26119923591614,58.866333961486816,65.24691581726074,21.899275507099777,45.663611094156906,405,324,0.6638634
YOLOv11,0.2,94.26119923591614,58.80601406097412,65.06173014640808,21.120433133882628,47.347513834635414,359,324,0.73042727
YOLOv11,0.3,92.49619245529175,57.81550407409668,63.76543045043945,20.70411258324566,48.29958279927572,332,324,0.76908904
YOLOv11,0.4,90.65346121788025,57.077401876449585,62.77777552604675,22.06803660271574,45.31440734863281,319,324,0.7863105
YOLOv11,0.5,89.71731066703796,56.545490026474,62.253087759017944,21.792694140005228,45.88693777720133,311,324,0.7953866
YOLOv11,0.6,86.880362033844,55.1335334777832,60.61728596687317,20.97372573682332,47.6787010828654,296,324,0.8074635
YOLOv11,0.7,82.07119703292847,52.23040580749512,56.913578510284424,20.359677750792436,49.11669095357259,270,324,0.8214274
YOLOv11,0.8,56.43564462661743,39.1108900308609,42.2530859708786,22.123809098482322,45.20017306009928,182,324,0.8490921
YOLOv11,0.9,0.9900989942252636,0.4950494971126318,0.15432098880410194,21.391070189993062,46.74847920735677,1,324,0.9072936
YOLOv12,0.1,94.20154690742493,56.83776140213013,62.839508056640625,20.56816121837335,48.618833223978676,369,324,0.7473779
YOLOv12,0.2,93.33521127700806,56.36352300643921,62.28395104408264,19.408154350739252,51.52473449707031,345,324,0.789669
YOLOv12,0.3,92.45990514755249,56.27599358558655,62.19135522842407,17.843817080522367,56.04182084401448,333,324,0.8093328
YOLOv12,0.4,91.54804944992065,56.01997375488281,61.759257316589355,20.965974499744817,47.69632816314697,321,324,0.82679933
YOLOv12,0.5,90.60511589050293,55.745166540145874,61.41975522041321,19.638908753898388,50.91932614644369,309,324,0.841649
YOLOv12,0.6,89.65643644332886,55.102258920669556,60.67901253700256,19.460538891964873,51.38603846232096,303,324,0.8474733
YOLOv12,0.7,86.76843047142029,53.91191840171814,59.13580060005188,20.365282865447547,49.103172620137535,290,324,0.8560994
YOLOv12,0.8,78.01102995872498,49.49541389942169,54.13580536842346,21.78479731496124,45.90357144673665,259,324,0.8678912
YOLOv12,0.9,12.871287763118744,10.357552766799927,10.555555671453476,20.74403742822254,48.20662339528402,41,324,0.90957004
YOLOv26,0.1,89.85499143600464,53.57186794281006,61.79012060165405,21.60323087565033,46.28937244415283,366,324,0.69899476
YOLOv26,0.2,88.15451264381409,52.51075625419617,60.33950448036194,21.85772317120729,45.75041929880778,327,324,0.76501364
YOLOv26,0.3,86.37227416038513,51.900458335876465,59.59876775741577,21.91795176936921,45.624701182047524,311,324,0.7917509
YOLOv26,0.4,85.46202182769775,50.990474224090576,58.42592716217041,22.07542363425453,45.29924392700195,295,324,0.81659424
YOLOv26,0.5,84.5127522945404,50.49771070480347,57.74691104888916,22.21753097816088,45.00950177510579,287,324,0.82663906
YOLOv26,0.6,80.67491054534912,48.49920570850372,55.37037253379822,21.035140783299088,47.539496421813965,274,324,0.839848
YOLOv26,0.7,75.87587833404541,46.267274022102356,52.40740776062012,21.130424312567893,47.325126330057785,256,324,0.8529118
YOLOv26,0.8,65.21046161651611,40.20642936229706,45.15432119369507,21.599815431264627,46.29669189453125,217,324,0.8695121
YOLOv26,0.9,10.891088843345642,7.704673707485199,8.302468806505203,21.825792428549647,45.81735134124756,33,324,0.910005
